Year,Hour,Wind Speed  ,
2016,0,11.98,11.5
2016,1,12.75,12.5
2016,2,13.02,13.5
2016,3,13.15,13.5
2016,4,11.28,11.5
2016,5,11.87,11.5
2016,6,7.94,7.5
2016,7,6.4,6.5
2016,8,5.47,5.5
2016,9,5.41,5.5
2016,10,4.9,4.5
2016,11,5.91,5.5
2016,12,6.72,6.5
2016,13,6.3,6.5
2016,14,6.28,6.5
2016,15,6.41,6.5
2016,16,6.79,6.5
2016,17,7.27,7.5
2016,18,7.29,7.5
2016,19,7.74,7.5
2016,20,6.96,6.5
2016,21,7.68,7.5
2016,22,6.13,6.5
2016,23,6.64,6.5
2016,0,5.12,5.5
2016,1,3.9,3.5
2016,2,4.36,4.5
2016,3,4.12,4.5
2016,4,3.41,3.5
2016,5,3.71,3.5
2016,6,3.31,3.5
2016,7,3.52,3.5
2016,8,4.81,4.5
2016,9,5.65,5.5
2016,10,6.46,6.5
2016,11,7.59,7.5
2016,12,7.98,7.5
2016,13,5.91,5.5
2016,14,6.3,6.5
2016,15,5.8,5.5
2016,16,5.2,5.5
2016,17,5.25,5.5
2016,18,5.35,5.5
2016,19,5.1,5.5
2016,20,4.53,4.5
2016,21,4.86,4.5
2016,22,5.46,5.5
2016,23,5.2,5.5
2016,0,5.1,5.5
2016,1,4.52,4.5
2016,2,4.2,4.5
2016,3,4,4.5
2016,4,4.5,4.5
2016,5,4.18,4.5
2016,6,3.81,3.5
2016,7,3.04,3.5
2016,8,2.33,2.5
2016,9,3.01,3.5
2016,10,2.96,2.5
2016,11,4.24,4.5
2016,12,4.93,4.5
2016,13,5.08,5.5
2016,14,5.49,5.5
2016,15,6.14,6.5
2016,16,6.33,6.5
2016,17,5.82,5.5
2016,18,5.67,5.5
2016,19,5.4,5.5
2016,20,4.52,4.5
2016,21,3.59,3.5
2016,22,2.97,2.5
2016,23,2.18,2.5
2016,0,1.34,1.5
2016,1,0.5,0.5
2016,2,1.42,1.5
2016,3,1.84,1.5
2016,4,2.42,2.5
2016,5,2.44,2.5
2016,6,2.56,2.5
2016,7,2.42,2.5
2016,8,1.75,1.5
2016,9,1.89,1.5
2016,10,2.31,2.5
2016,11,2.2,2.5
2016,12,2.15,2.5
2016,13,1.94,1.5
2016,14,2.24,2.5
2016,15,2.31,2.5
2016,16,2.4,2.5
2016,17,2.8,2.5
2016,18,6.63,6.5
2016,19,6.96,6.5
2016,20,6.28,6.5
2016,21,4.98,4.5
2016,22,3.54,3.5
2016,23,2.58,2.5
2016,0,2.08,2.5
2016,1,1.71,1.5
2016,2,1.43,1.5
2016,3,0.92,0.5
2016,4,1.08,1.5
2016,5,1.53,1.5
2016,6,1,1.5
2016,7,0.91,0.5
2016,8,1.1,1.5
2016,9,0.54,0.5
2016,10,0.86,0.5
2016,11,1.44,1.5
2016,12,0.94,0.5
2016,13,0.92,0.5
2016,14,1.2,1.5
2016,15,3.6,3.5
2016,16,3.4,3.5
2016,17,3.51,3.5
2016,18,4,4.5
2016,19,4.5,4.5
2016,20,4.81,4.5
2016,21,5.86,5.5
2016,22,6.57,6.5
2016,23,7.07,7.5
2016,0,6.8,6.5
2016,1,5.64,5.5
2016,2,5.33,5.5
2016,3,6.16,6.5
2016,4,6.3,6.5
2016,5,6.33,6.5
2016,6,5.73,5.5
2016,7,5.32,5.5
2016,8,4.92,4.5
2016,9,4.78,4.5
2016,10,4.34,4.5
2016,11,3.11,3.5
2016,12,2.31,2.5
2016,13,3.86,3.5
2016,14,2.8,2.5
2016,15,2.25,2.5
2016,16,1.84,1.5
2016,17,2.4,2.5
2016,18,4.34,4.5
2016,19,4.1,4.5
2016,20,2.82,2.5
2016,21,2.14,2.5
2016,22,1.17,1.5
2016,23,1.2,1.5
2016,0,2.35,2.5
2016,1,2.69,2.5
2016,2,4.79,4.5
2016,3,6.63,6.5
2016,4,6.97,6.5
2016,5,7.13,7.5
2016,6,6.71,6.5
2016,7,6.3,6.5
2016,8,5.91,5.5
2016,9,5.26,5.5
2016,10,4.12,4.5
2016,11,3.7,3.5
2016,12,4.17,4.5
2016,13,5.16,5.5
2016,14,4.4,4.5
2016,15,4.12,4.5
2016,16,4.35,4.5
2016,17,4.44,4.5
2016,18,3.76,3.5
2016,19,3.02,3.5
2016,20,3.08,3.5
2016,21,1.84,1.5
2016,22,1.04,1.5
2016,23,0.8,0.5
2016,0,0.22,0.5
2016,1,0.36,0.5
2016,2,0.64,0.5
2016,3,0.71,0.5
2016,4,1.84,1.5
2016,5,3.26,3.5
2016,6,3,3.5
2016,7,2.55,2.5
2016,8,2.76,2.5
2016,9,2.37,2.5
2016,10,1.97,1.5
2016,11,1.78,1.5
2016,12,2.15,2.5
2016,13,2.12,2.5
2016,14,2.53,2.5
2016,15,2.88,2.5
2016,16,3.58,3.5
2016,17,4.62,4.5
2016,18,5.68,5.5
2016,19,3.96,3.5
2016,20,1.21,1.5
2016,21,0.91,0.5
2016,22,1.1,1.5
2016,23,1.55,1.5
2016,0,1.96,1.5
2016,1,2.5,2.5
2016,2,2.06,2.5
2016,3,0.94,0.5
2016,4,0,0.5
2016,5,0.81,0.5
2016,6,1.08,1.5
2016,7,1.17,1.5
2016,8,1.43,1.5
2016,9,1.28,1.5
2016,10,2.4,2.5
2016,11,3.95,3.5
2016,12,4.52,4.5
2016,13,1.84,1.5
2016,14,2.63,2.5
2016,15,3.13,3.5
2016,16,3.67,3.5
2016,17,3.42,3.5
2016,18,2.75,2.5
2016,19,2.78,2.5
2016,20,2.8,2.5
2016,21,2.73,2.5
2016,22,4.29,4.5
2016,23,5.1,5.5
2016,0,2.86,2.5
2016,1,2.27,2.5
2016,2,2.85,2.5
2016,3,4.9,4.5
2016,4,5.9,5.5
2016,5,9.51,9.5
2016,6,8.61,8.5
2016,7,8.21,8.5
2016,8,8.51,8.5
2016,9,8.33,8.5
2016,10,7.06,7.5
2016,11,6.33,6.5
2016,12,6.94,6.5
2016,13,4.02,4.5
2016,14,4.77,4.5
2016,15,5.32,5.5
2016,16,5.41,5.5
2016,17,5.39,5.5
2016,18,5.87,5.5
2016,19,6.41,6.5
2016,20,5.7,5.5
2016,21,5.31,5.5
2016,22,5.56,5.5
2016,23,5.39,5.5
2016,0,4.7,4.5
2016,1,4.55,4.5
2016,2,4.2,4.5
2016,3,3.61,3.5
2016,4,3.19,3.5
2016,5,2.69,2.5
2016,6,2.47,2.5
2016,7,4.52,4.5
2016,8,5.86,5.5
2016,9,5.38,5.5
2016,10,2.55,2.5
2016,11,0.6,0.5
2016,12,1.77,1.5
2016,13,6.71,6.5
